Job Title,Location,Currency,Min,Max,Compensation Range
HR Business Partner,SYD,AUD,126000,170000,"$126,000 - $170,000"
Sales Manager,STL,USD,101000,136000,"$101,000 - $136,000"
System Administrator,SEA,USD,93000,127000,"$93,000 - $127,000"
Project Manager,SYD,AUD,120000,163000,"$120,000 - $163,000"
System Administrator,SHA,CNY,274000,371000,"¥274,000 - ¥371,000"
HR Generalist,STL,USD,54000,73000,"$54,000 - $73,000"
Software Engineer,DUB,EUR,87000,119000,"€87,000 - €119,000"
Chief of Staff,SIN,SGD,221000,300000,"$221,000 - $300,000"
Marketing Manager,DUB,EUR,76000,103000,"€76,000 - €103,000"
Chief of Staff,SHA,CNY,581000,786000,"¥581,000 - ¥786,000"
HR Generalist,SHA,CNY,242000,327000,"¥242,000 - ¥327,000"
Recruiter,SYD,AUD,91000,124000,"$91,000 - $124,000"
Marketing Manager,STL,USD,72000,97000,"$72,000 - $97,000"
HR Business Partner,SHA,CNY,355000,480000,"¥355,000 - ¥480,000"
Software Engineer,SIN,SGD,141000,191000,"$141,000 - $191,000"
UI Designer,LAX,USD,100000,136000,"$100,000 - $136,000"
Mobile Developer,SIN,SGD,147000,200000,"$147,000 - $200,000"
Procurement Specialist,SIN,SGD,104000,141000,"$104,000 - $141,000"
Customer Success Manager,SEA,USD,88000,119000,"$88,000 - $119,000"
Director of Engineering,SHA,CNY,742000,1005000,"¥742,000 - ¥1,005,000"
Product Manager,SEA,USD,149000,201000,"$149,000 - $201,000"
Software Engineer,STL,USD,83000,112000,"$83,000 - $112,000"
Procurement Specialist,LAX,USD,90000,122000,"$90,000 - $122,000"
SEO Specialist,SYD,AUD,86000,116000,"$86,000 - $116,000"
Social Media Manager,STL,USD,50000,68000,"$50,000 - $68,000"
VP of Sales,SIN,SGD,258000,350000,"$258,000 - $350,000"
DevOps Engineer,SIN,SGD,160000,216000,"$160,000 - $216,000"
QA Engineer,DUB,EUR,68000,93000,"€68,000 - €93,000"
Project Manager,SEA,USD,116000,156000,"$116,000 - $156,000"
Security Analyst,STL,USD,83000,112000,"$83,000 - $112,000"
Customer Support Lead,LAX,USD,69000,93000,"$69,000 - $93,000"
Senior Software Engineer,DUB,EUR,126000,170000,"€126,000 - €170,000"
