Job Title,Location,Currency,Min,Max,Compensation Range
Software Engineer,LAX,USD,122000,165000,"$122,000 - $165,000"
Software Engineer,DUB,EUR,87000,119000,"€87,000 - €119,000"
Software Engineer,STL,USD,83000,112000,"$83,000 - $112,000"
Software Engineer,SHA,CNY,371000,502000,"¥371,000 - ¥502,000"
Software Engineer,SYD,AUD,131000,178000,"$131,000 - $178,000"
Software Engineer,SIN,SGD,141000,191000,"$141,000 - $191,000"
Software Engineer,SEA,USD,127000,171000,"$127,000 - $171,000"
Senior Software Engineer,LAX,USD,175000,237000,"$175,000 - $237,000"
Senior Software Engineer,DUB,EUR,126000,170000,"€126,000 - €170,000"
Senior Software Engineer,STL,USD,119000,161000,"$119,000 - $161,000"
Senior Software Engineer,SHA,CNY,532000,721000,"¥532,000 - ¥721,000"
Senior Software Engineer,SYD,AUD,189000,256000,"$189,000 - $256,000"
Senior Software Engineer,SIN,SGD,203000,275000,"$203,000 - $275,000"
Senior Software Engineer,SEA,USD,182000,246000,"$182,000 - $246,000"
Staff Engineer,LAX,USD,223000,301000,"$223,000 - $301,000"
Staff Engineer,DUB,EUR,160000,217000,"€160,000 - €217,000"
Staff Engineer,STL,USD,151000,205000,"$151,000 - $205,000"
Staff Engineer,SHA,CNY,678000,917000,"¥678,000 - ¥917,000"
Staff Engineer,SYD,AUD,240000,326000,"$240,000 - $326,000"
Staff Engineer,SIN,SGD,258000,350000,"$258,000 - $350,000"
Staff Engineer,SEA,USD,232000,313000,"$232,000 - $313,000"
Data Scientist,LAX,USD,132000,179000,"$132,000 - $179,000"
Data Scientist,DUB,EUR,95000,129000,"€95,000 - €129,000"
Data Scientist,STL,USD,90000,122000,"$90,000 - $122,000"
Data Scientist,SHA,CNY,403000,546000,"¥403,000 - ¥546,000"
Data Scientist,SYD,AUD,143000,194000,"$143,000 - $194,000"
Data Scientist,SIN,SGD,154000,208000,"$154,000 - $208,000"
Data Scientist,SEA,USD,138000,186000,"$138,000 - $186,000"
Data Analyst,LAX,USD,90000,122000,"$90,000 - $122,000"
Data Analyst,DUB,EUR,65000,87000,"€65,000 - €87,000"
Data Analyst,STL,USD,61000,83000,"$61,000 - $83,000"
Data Analyst,SHA,CNY,274000,371000,"¥274,000 - ¥371,000"
Data Analyst,SYD,AUD,97000,131000,"$97,000 - $131,000"
Data Analyst,SIN,SGD,104000,141000,"$104,000 - $141,000"
Data Analyst,SEA,USD,93000,127000,"$93,000 - $127,000"
DevOps Engineer,LAX,USD,138000,186000,"$138,000 - $186,000"
DevOps Engineer,DUB,EUR,99000,134000,"€99,000 - €134,000"
DevOps Engineer,STL,USD,93000,127000,"$93,000 - $127,000"
DevOps Engineer,SHA,CNY,419000,568000,"¥419,000 - ¥568,000"
DevOps Engineer,SYD,AUD,149000,201000,"$149,000 - $201,000"
DevOps Engineer,SIN,SGD,160000,216000,"$160,000 - $216,000"
DevOps Engineer,SEA,USD,143000,194000,"$143,000 - $194,000"
UX Designer,LAX,USD,116000,158000,"$116,000 - $158,000"
UX Designer,DUB,EUR,84000,113000,"€84,000 - €113,000"
UX Designer,STL,USD,79000,107000,"$79,000 - $107,000"
UX Designer,SHA,CNY,355000,480000,"¥355,000 - ¥480,000"
UX Designer,SYD,AUD,126000,170000,"$126,000 - $170,000"
UX Designer,SIN,SGD,135000,183000,"$135,000 - $183,000"
UX Designer,SEA,USD,121000,164000,"$121,000 - $164,000"
UI Designer,LAX,USD,100000,136000,"$100,000 - $136,000"
UI Designer,DUB,EUR,72000,98000,"€72,000 - €98,000"
UI Designer,STL,USD,68000,92000,"$68,000 - $92,000"
UI Designer,SHA,CNY,306000,415000,"¥306,000 - ¥415,000"
UI Designer,SYD,AUD,109000,147000,"$109,000 - $147,000"
UI Designer,SIN,SGD,117000,158000,"$117,000 - $158,000"
UI Designer,SEA,USD,104000,142000,"$104,000 - $142,000"
Product Manager,LAX,USD,143000,194000,"$143,000 - $194,000"
Product Manager,DUB,EUR,103000,139000,"€103,000 - €139,000"
Product Manager,STL,USD,97000,131000,"$97,000 - $131,000"
Product Manager,SHA,CNY,436000,589000,"¥436,000 - ¥589,000"
Product Manager,SYD,AUD,154000,209000,"$154,000 - $209,000"
Product Manager,SIN,SGD,166000,225000,"$166,000 - $225,000"
Product Manager,SEA,USD,149000,201000,"$149,000 - $201,000"
QA Engineer,LAX,USD,95000,129000,"$95,000 - $129,000"
QA Engineer,DUB,EUR,68000,93000,"€68,000 - €93,000"
QA Engineer,STL,USD,65000,87000,"$65,000 - $87,000"
QA Engineer,SHA,CNY,290000,393000,"¥290,000 - ¥393,000"
QA Engineer,SYD,AUD,103000,139000,"$103,000 - $139,000"
QA Engineer,SIN,SGD,110000,150000,"$110,000 - $150,000"
QA Engineer,SEA,USD,99000,134000,"$99,000 - $134,000"
System Administrator,LAX,USD,90000,122000,"$90,000 - $122,000"
System Administrator,DUB,EUR,65000,87000,"€65,000 - €87,000"
